schoolid,schoolName,address,lowGrade,highGrade,schoolLevel,district,county,rankMovement,schoolYearlyDetails,hasBoundary
80336000305,Abraham Lincoln High School,"{'latLong': {'latitude': 39.6761, 'longitude': -105.0265}, 'street': '2285 South Federal Boulevard', 'city': 'Denver', 'state': 'CO', 'stateFull': 'Colorado', 'zip': '80219', 'zip4': '5433', 'cityURL': 'https://www.schooldigger.com/go/CO/city/Denver/search.aspx', 'zipURL': 'https://www.schooldigger.com/go/CO/zip/80219/search.aspx', 'html': '2285 South Federal Boulevard<br />Denver, CO 80219-5433'}",9,12,High,"{'districtID': '0803360', 'districtName': 'School District No. 1', 'url': 'https://www.schooldigger.com/go/CO/district/03360/search.aspx', 'rankURL': 'https://www.schooldigger.com/go/CO/districtrank.aspx?finddistrict=03360'}","{'countyName': 'Denver County', 'countyURL': 'https://www.schooldigger.com/go/CO/county/Denver+County/search.aspx'}",-12.0,"[{'year': 2020, 'numberOfStudents': 971, 'percentFreeDiscLunch': 90.73, 'percentofAfricanAmericanStudents': 4.02, 'percentofAsianStudents': 2.88, 'percentofHispanicStudents': 88.36, 'percentofIndianStudents': 1.24, 'percentofPacificIslanderStudents': 0.0, 'percentofWhiteStudents': 2.99, 'percentofTwoOrMoreRaceStudents': 0.51, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 65.0, 'pupilTeacherRatio': 14.9, 'numberofAfricanAmericanStudents': 39, 'numberofAsianStudents': 28, 'numberofHispanicStudents': 858, 'numberofIndianStudents': 12, 'numberofPacificIslanderStudents': 0, 'numberofWhiteStudents': 29, 'numberofTwoOrMoreRaceStudents': 5, 'numberofUnspecifiedRaceStudents': None}, {'year': 2019, 'numberOfStudents': 952, 'percentFreeDiscLunch': 91.07, 'percentofAfricanAmericanStudents': 3.05, 'percentofAsianStudents': 3.99, 'percentofHispanicStudents': 88.55, 'percentofIndianStudents': 1.05, 'percentofPacificIslanderStudents': 0.0, 'percentofWhiteStudents': 2.63, 'percentofTwoOrMoreRaceStudents': 0.74, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 65.3, 'pupilTeacherRatio': 14.5, 'numberofAfricanAmericanStudents': 29, 'numberofAsianStudents': 38, 'numberofHispanicStudents': 843, 'numberofIndianStudents': 10, 'numberofPacificIslanderStudents': 0, 'numberofWhiteStudents': 25, 'numberofTwoOrMoreRaceStudents': 7, 'numberofUnspecifiedRaceStudents': None}]",True
80336001750,Academia Ana Marie Sandoval,"{'latLong': {'latitude': 39.7675, 'longitude': -105.0155}, 'street': '3655 Wyandot Street', 'city': 'Denver', 'state': 'CO', 'stateFull': 'Colorado', 'zip': '80211', 'zip4': '2950', 'cityURL': 'https://www.schooldigger.com/go/CO/city/Denver/search.aspx', 'zipURL': 'https://www.schooldigger.com/go/CO/zip/80211/search.aspx', 'html': '3655 Wyandot Street<br />Denver, CO 80211-2950'}",PK,6,Elementary,"{'districtID': '0803360', 'districtName': 'School District No. 1', 'url': 'https://www.schooldigger.com/go/CO/district/03360/search.aspx', 'rankURL': 'https://www.schooldigger.com/go/CO/districtrank.aspx?finddistrict=03360'}","{'countyName': 'Denver County', 'countyURL': 'https://www.schooldigger.com/go/CO/county/Denver+County/search.aspx'}",-13.0,"[{'year': 2020, 'numberOfStudents': 423, 'percentFreeDiscLunch': 32.15, 'percentofAfricanAmericanStudents': 0.24, 'percentofAsianStudents': 2.13, 'percentofHispanicStudents': 61.23, 'percentofIndianStudents': 0.47, 'percentofPacificIslanderStudents': 0.0, 'percentofWhiteStudents': 33.1, 'percentofTwoOrMoreRaceStudents': 2.84, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 20.6, 'pupilTeacherRatio': 20.4, 'numberofAfricanAmericanStudents': 1, 'numberofAsianStudents': 9, 'numberofHispanicStudents': 259, 'numberofIndianStudents': 2, 'numberofPacificIslanderStudents': 0, 'numberofWhiteStudents': 140, 'numberofTwoOrMoreRaceStudents': 12, 'numberofUnspecifiedRaceStudents': None}, {'year': 2019, 'numberOfStudents': 422, 'percentFreeDiscLunch': 32.46, 'percentofAfricanAmericanStudents': 0.71, 'percentofAsianStudents': 1.66, 'percentofHispanicStudents': 64.22, 'percentofIndianStudents': 0.47, 'percentofPacificIslanderStudents': 0.0, 'percentofWhiteStudents': 31.28, 'percentofTwoOrMoreRaceStudents': 1.66, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 21.6, 'pupilTeacherRatio': 19.5, 'numberofAfricanAmericanStudents': 3, 'numberofAsianStudents': 7, 'numberofHispanicStudents': 271, 'numberofIndianStudents': 2, 'numberofPacificIslanderStudents': 0, 'numberofWhiteStudents': 132, 'numberofTwoOrMoreRaceStudents': 7, 'numberofUnspecifiedRaceStudents': None}]",True
80555001872,Academy High School,"{'latLong': {'latitude': 39.85729, 'longitude': -104.958167}, 'street': '8970 York Street', 'city': 'Thornton', 'state': 'CO', 'stateFull': 'Colorado', 'zip': '80229', 'zip4': '4666', 'cityURL': 'https://www.schooldigger.com/go/CO/city/Thornton/search.aspx', 'zipURL': 'https://www.schooldigger.com/go/CO/zip/80229/search.aspx', 'html': '8970 York Street<br />Thornton, CO 80229-4666'}",9,12,High,"{'districtID': '0805550', 'districtName': 'Mapleton School District No. 1', 'url': 'https://www.schooldigger.com/go/CO/district/05550/search.aspx', 'rankURL': 'https://www.schooldigger.com/go/CO/districtrank.aspx?finddistrict=05550'}","{'countyName': 'Adams County', 'countyURL': 'https://www.schooldigger.com/go/CO/county/Adams+County/search.aspx'}",-14.0,"[{'year': 2020, 'numberOfStudents': 467, 'percentFreeDiscLunch': 61.24, 'percentofAfricanAmericanStudents': 1.07, 'percentofAsianStudents': 1.07, 'percentofHispanicStudents': 85.01, 'percentofIndianStudents': 0.21, 'percentofPacificIslanderStudents': 0.0, 'percentofWhiteStudents': 9.42, 'percentofTwoOrMoreRaceStudents': 3.21, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 22.2, 'pupilTeacherRatio': 20.9, 'numberofAfricanAmericanStudents': 5, 'numberofAsianStudents': 5, 'numberofHispanicStudents': 397, 'numberofIndianStudents': 1, 'numberofPacificIslanderStudents': 0, 'numberofWhiteStudents': 44, 'numberofTwoOrMoreRaceStudents': 15, 'numberofUnspecifiedRaceStudents': None}, {'year': 2019, 'numberOfStudents': 435, 'percentFreeDiscLunch': 64.14, 'percentofAfricanAmericanStudents': 1.38, 'percentofAsianStudents': 0.92, 'percentofHispanicStudents': 84.14, 'percentofIndianStudents': 0.69, 'percentofPacificIslanderStudents': 0.0, 'percentofWhiteStudents': 9.66, 'percentofTwoOrMoreRaceStudents': 3.22, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 23.0, 'pupilTeacherRatio': 18.9, 'numberofAfricanAmericanStudents': 6, 'numberofAsianStudents': 4, 'numberofHispanicStudents': 366, 'numberofIndianStudents': 3, 'numberofPacificIslanderStudents': 0, 'numberofWhiteStudents': 42, 'numberofTwoOrMoreRaceStudents': 14, 'numberofUnspecifiedRaceStudents': None}]",True
80345000436,Acres Green Elementary School,"{'latLong': {'latitude': 39.5574, 'longitude': -104.8949}, 'street': '13524 North Acres Green Drive', 'city': 'Littleton', 'state': 'CO', 'stateFull': 'Colorado', 'zip': '80124', 'zip4': '2701', 'cityURL': 'https://www.schooldigger.com/go/CO/city/Littleton/search.aspx', 'zipURL': 'https://www.schooldigger.com/go/CO/zip/80124/search.aspx', 'html': '13524 North Acres Green Drive<br />Littleton, CO 80124-2701'}",PK,6,Elementary,"{'districtID': '0803450', 'districtName': 'Douglas County School District No. Re 1', 'url': 'https://www.schooldigger.com/go/CO/district/03450/search.aspx', 'rankURL': 'https://www.schooldigger.com/go/CO/districtrank.aspx?finddistrict=03450'}","{'countyName': 'Douglas County', 'countyURL': 'https://www.schooldigger.com/go/CO/county/Douglas+County/search.aspx'}",-57.0,"[{'year': 2020, 'numberOfStudents': 493, 'percentFreeDiscLunch': 22.72, 'percentofAfricanAmericanStudents': 0.41, 'percentofAsianStudents': 18.86, 'percentofHispanicStudents': 22.72, 'percentofIndianStudents': 0.61, 'percentofPacificIslanderStudents': 0.41, 'percentofWhiteStudents': 49.09, 'percentofTwoOrMoreRaceStudents': 7.91, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 31.0, 'pupilTeacherRatio': 15.9, 'numberofAfricanAmericanStudents': 2, 'numberofAsianStudents': 93, 'numberofHispanicStudents': 112, 'numberofIndianStudents': 3, 'numberofPacificIslanderStudents': 2, 'numberofWhiteStudents': 242, 'numberofTwoOrMoreRaceStudents': 39, 'numberofUnspecifiedRaceStudents': None}, {'year': 2019, 'numberOfStudents': 566, 'percentFreeDiscLunch': 19.96, 'percentofAfricanAmericanStudents': 0.53, 'percentofAsianStudents': 21.02, 'percentofHispanicStudents': 20.14, 'percentofIndianStudents': 0.88, 'percentofPacificIslanderStudents': 0.18, 'percentofWhiteStudents': 48.59, 'percentofTwoOrMoreRaceStudents': 8.66, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 33.5, 'pupilTeacherRatio': 16.8, 'numberofAfricanAmericanStudents': 3, 'numberofAsianStudents': 119, 'numberofHispanicStudents': 114, 'numberofIndianStudents': 5, 'numberofPacificIslanderStudents': 1, 'numberofWhiteStudents': 275, 'numberofTwoOrMoreRaceStudents': 49, 'numberofUnspecifiedRaceStudents': None}]",True
80195000010,Adams City High School,"{'latLong': {'latitude': 39.8281, 'longitude': -104.9004}, 'street': '7200 Quebec Parkway', 'city': 'Commerce City', 'state': 'CO', 'stateFull': 'Colorado', 'zip': '80022', 'zip4': '4824', 'cityURL': 'https://www.schooldigger.com/go/CO/city/Commerce+City/search.aspx', 'zipURL': 'https://www.schooldigger.com/go/CO/zip/80022/search.aspx', 'html': '7200 Quebec Parkway<br />Commerce City, CO 80022-4824'}",9,12,High,"{'districtID': '0801950', 'districtName': 'School District N. 14', 'url': 'https://www.schooldigger.com/go/CO/district/01950/search.aspx', 'rankURL': 'https://www.schooldigger.com/go/CO/districtrank.aspx?finddistrict=01950'}","{'countyName': 'Adams County', 'countyURL': 'https://www.schooldigger.com/go/CO/county/Adams+County/search.aspx'}",-22.0,"[{'year': 2020, 'numberOfStudents': 1721, 'percentFreeDiscLunch': 81.41, 'percentofAfricanAmericanStudents': 1.92, 'percentofAsianStudents': 0.35, 'percentofHispanicStudents': 87.97, 'percentofIndianStudents': 0.41, 'percentofPacificIslanderStudents': 0.17, 'percentofWhiteStudents': 8.13, 'percentofTwoOrMoreRaceStudents': 1.05, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 80.5, 'pupilTeacherRatio': 21.3, 'numberofAfricanAmericanStudents': 33, 'numberofAsianStudents': 6, 'numberofHispanicStudents': 1514, 'numberofIndianStudents': 7, 'numberofPacificIslanderStudents': 3, 'numberofWhiteStudents': 140, 'numberofTwoOrMoreRaceStudents': 18, 'numberofUnspecifiedRaceStudents': None}, {'year': 2019, 'numberOfStudents': 1764, 'percentFreeDiscLunch': 81.86, 'percentofAfricanAmericanStudents': 2.04, 'percentofAsianStudents': 0.4, 'percentofHispanicStudents': 86.73, 'percentofIndianStudents': 0.68, 'percentofPacificIslanderStudents': 0.06, 'percentofWhiteStudents': 9.07, 'percentofTwoOrMoreRaceStudents': 1.02, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 79.0, 'pupilTeacherRatio': 22.3, 'numberofAfricanAmericanStudents': 36, 'numberofAsianStudents': 7, 'numberofHispanicStudents': 1530, 'numberofIndianStudents': 12, 'numberofPacificIslanderStudents': 1, 'numberofWhiteStudents': 160, 'numberofTwoOrMoreRaceStudents': 18, 'numberofUnspecifiedRaceStudents': None}]",True
80195000009,Adams City Middle School,"{'latLong': {'latitude': 39.8282, 'longitude': -104.9354}, 'street': '4451 East 72nd Avenue', 'city': 'Commerce City', 'state': 'CO', 'stateFull': 'Colorado', 'zip': '80022', 'zip4': '1405', 'cityURL': 'https://www.schooldigger.com/go/CO/city/Commerce+City/search.aspx', 'zipURL': 'https://www.schooldigger.com/go/CO/zip/80022/search.aspx', 'html': '4451 East 72nd Avenue<br />Commerce City, CO 80022-1405'}",6,8,Middle,"{'districtID': '0801950', 'districtName': 'School District N. 14', 'url': 'https://www.schooldigger.com/go/CO/district/01950/search.aspx', 'rankURL': 'https://www.schooldigger.com/go/CO/districtrank.aspx?finddistrict=01950'}","{'countyName': 'Adams County', 'countyURL': 'https://www.schooldigger.com/go/CO/county/Adams+County/search.aspx'}",-38.0,"[{'year': 2020, 'numberOfStudents': 773, 'percentFreeDiscLunch': 82.54, 'percentofAfricanAmericanStudents': 1.16, 'percentofAsianStudents': 0.13, 'percentofHispanicStudents': 87.32, 'percentofIndianStudents': 1.03, 'percentofPacificIslanderStudents': 0.13, 'percentofWhiteStudents': 8.8, 'percentofTwoOrMoreRaceStudents': 1.42, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 41.1, 'pupilTeacherRatio': 18.7, 'numberofAfricanAmericanStudents': 9, 'numberofAsianStudents': 1, 'numberofHispanicStudents': 675, 'numberofIndianStudents': 8, 'numberofPacificIslanderStudents': 1, 'numberofWhiteStudents': 68, 'numberofTwoOrMoreRaceStudents': 11, 'numberofUnspecifiedRaceStudents': None}, {'year': 2019, 'numberOfStudents': 809, 'percentFreeDiscLunch': 86.4, 'percentofAfricanAmericanStudents': 1.36, 'percentofAsianStudents': 0.25, 'percentofHispanicStudents': 85.41, 'percentofIndianStudents': 1.24, 'percentofPacificIslanderStudents': 0.12, 'percentofWhiteStudents': 9.39, 'percentofTwoOrMoreRaceStudents': 2.22, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 42.9, 'pupilTeacherRatio': 18.8, 'numberofAfricanAmericanStudents': 11, 'numberofAsianStudents': 2, 'numberofHispanicStudents': 691, 'numberofIndianStudents': 10, 'numberofPacificIslanderStudents': 1, 'numberofWhiteStudents': 76, 'numberofTwoOrMoreRaceStudents': 18, 'numberofUnspecifiedRaceStudents': None}]",True
80480001446,Adams Elementary School,"{'latLong': {'latitude': 39.8698, 'longitude': -105.0655}, 'street': '6450 West 95th Place', 'city': 'Westminster', 'state': 'CO', 'stateFull': 'Colorado', 'zip': '80021', 'zip4': '6421', 'cityURL': 'https://www.schooldigger.com/go/CO/city/Westminster/search.aspx', 'zipURL': 'https://www.schooldigger.com/go/CO/zip/80021/search.aspx', 'html': '6450 West 95th Place<br />Westminster, CO 80021-6421'}",PK,5,Elementary,"{'districtID': '0804800', 'districtName': 'Jefferson County School District No. R-1', 'url': 'https://www.schooldigger.com/go/CO/district/04800/search.aspx', 'rankURL': 'https://www.schooldigger.com/go/CO/districtrank.aspx?finddistrict=04800'}","{'countyName': 'Jefferson County', 'countyURL': 'https://www.schooldigger.com/go/CO/county/Jefferson+County/search.aspx'}",-68.0,"[{'year': 2020, 'numberOfStudents': 381, 'percentFreeDiscLunch': 37.53, 'percentofAfricanAmericanStudents': 3.67, 'percentofAsianStudents': 6.56, 'percentofHispanicStudents': 25.46, 'percentofIndianStudents': 0.26, 'percentofPacificIslanderStudents': 0.0, 'percentofWhiteStudents': 59.06, 'percentofTwoOrMoreRaceStudents': 4.99, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 22.4, 'pupilTeacherRatio': 17.0, 'numberofAfricanAmericanStudents': 14, 'numberofAsianStudents': 25, 'numberofHispanicStudents': 97, 'numberofIndianStudents': 1, 'numberofPacificIslanderStudents': 0, 'numberofWhiteStudents': 225, 'numberofTwoOrMoreRaceStudents': 19, 'numberofUnspecifiedRaceStudents': None}, {'year': 2019, 'numberOfStudents': 387, 'percentFreeDiscLunch': 35.14, 'percentofAfricanAmericanStudents': 2.84, 'percentofAsianStudents': 4.91, 'percentofHispanicStudents': 24.03, 'percentofIndianStudents': 0.26, 'percentofPacificIslanderStudents': 0.0, 'percentofWhiteStudents': 63.57, 'percentofTwoOrMoreRaceStudents': 4.39, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 20.9, 'pupilTeacherRatio': 18.5, 'numberofAfricanAmericanStudents': 11, 'numberofAsianStudents': 19, 'numberofHispanicStudents': 93, 'numberofIndianStudents': 1, 'numberofPacificIslanderStudents': 0, 'numberofWhiteStudents': 246, 'numberofTwoOrMoreRaceStudents': 17, 'numberofUnspecifiedRaceStudents': None}]",True
80258006343,Adams Youth Service Center,"{'latLong': {'latitude': 39.9887, 'longitude': -104.797}, 'street': '1933 East Bridge Street', 'city': 'Brighton', 'state': 'CO', 'stateFull': 'Colorado', 'zip': '80601', 'zip4': '', 'cityURL': 'https://www.schooldigger.com/go/CO/city/Brighton/search.aspx', 'zipURL': 'https://www.schooldigger.com/go/CO/zip/80601/search.aspx', 'html': '1933 East Bridge Street<br />Brighton, CO 80601'}",4,12,Alternative,"{'districtID': '0802580', 'districtName': 'School District 27J', 'url': 'https://www.schooldigger.com/go/CO/district/02580/search.aspx', 'rankURL': 'https://www.schooldigger.com/go/CO/districtrank.aspx?finddistrict=02580'}","{'countyName': 'Adams County', 'countyURL': 'https://www.schooldigger.com/go/CO/county/Adams+County/search.aspx'}",,"[{'year': 2020, 'numberOfStudents': 27, 'percentFreeDiscLunch': 18.52, 'percentofAfricanAmericanStudents': 7.41, 'percentofAsianStudents': 0.0, 'percentofHispanicStudents': 70.37, 'percentofIndianStudents': 0.0, 'percentofPacificIslanderStudents': 0.0, 'percentofWhiteStudents': 14.81, 'percentofTwoOrMoreRaceStudents': 7.41, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 6.0, 'pupilTeacherRatio': 4.5, 'numberofAfricanAmericanStudents': 2, 'numberofAsianStudents': 0, 'numberofHispanicStudents': 19, 'numberofIndianStudents': 0, 'numberofPacificIslanderStudents': 0, 'numberofWhiteStudents': 4, 'numberofTwoOrMoreRaceStudents': 2, 'numberofUnspecifiedRaceStudents': None}, {'year': 2019, 'numberOfStudents': 29, 'percentFreeDiscLunch': 20.69, 'percentofAfricanAmericanStudents': 6.9, 'percentofAsianStudents': 3.45, 'percentofHispanicStudents': 68.97, 'percentofIndianStudents': 0.0, 'percentofPacificIslanderStudents': 0.0, 'percentofWhiteStudents': 17.24, 'percentofTwoOrMoreRaceStudents': 3.45, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 6.1, 'pupilTeacherRatio': 4.7, 'numberofAfricanAmericanStudents': 2, 'numberofAsianStudents': 1, 'numberofHispanicStudents': 20, 'numberofIndianStudents': 0, 'numberofPacificIslanderStudents': 0, 'numberofWhiteStudents': 5, 'numberofTwoOrMoreRaceStudents': 1, 'numberofUnspecifiedRaceStudents': None}]",False
80690006435,Adams12 Five Star Preschool,"{'latLong': {'latitude': 39.9259, 'longitude': -104.966}, 'street': '1500 East 128th Avenue', 'city': 'Thornton', 'state': 'CO', 'stateFull': 'Colorado', 'zip': '80241', 'zip4': '2601', 'cityURL': 'https://www.schooldigger.com/go/CO/city/Thornton/search.aspx', 'zipURL': 'https://www.schooldigger.com/go/CO/zip/80241/search.aspx', 'html': '1500 East 128th Avenue<br />Thornton, CO 80241-2601'}",PK,PK,Prekindergarten,"{'districtID': '0806900', 'districtName': 'Adams 12 Five Star Schools', 'url': 'https://www.schooldigger.com/go/CO/district/06900/search.aspx', 'rankURL': 'https://www.schooldigger.com/go/CO/districtrank.aspx?finddistrict=06900'}","{'countyName': 'Adams County', 'countyURL': 'https://www.schooldigger.com/go/CO/county/Adams+County/search.aspx'}",,"[{'year': 2020, 'numberOfStudents': 207, 'percentFreeDiscLunch': 23.19, 'percentofAfricanAmericanStudents': 1.45, 'percentofAsianStudents': 7.25, 'percentofHispanicStudents': 65.22, 'percentofIndianStudents': 0.0, 'percentofPacificIslanderStudents': 0.0, 'percentofWhiteStudents': 25.12, 'percentofTwoOrMoreRaceStudents': 0.97, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 3.0, 'pupilTeacherRatio': 69.0, 'numberofAfricanAmericanStudents': 3, 'numberofAsianStudents': 15, 'numberofHispanicStudents': 135, 'numberofIndianStudents': 0, 'numberofPacificIslanderStudents': 0, 'numberofWhiteStudents': 52, 'numberofTwoOrMoreRaceStudents': 2, 'numberofUnspecifiedRaceStudents': None}, {'year': 2019, 'numberOfStudents': 216, 'percentFreeDiscLunch': 29.17, 'percentofAfricanAmericanStudents': 1.85, 'percentofAsianStudents': 6.48, 'percentofHispanicStudents': 59.26, 'percentofIndianStudents': 0.0, 'percentofPacificIslanderStudents': 0.46, 'percentofWhiteStudents': 29.63, 'percentofTwoOrMoreRaceStudents': 2.31, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 3.3, 'pupilTeacherRatio': 64.8, 'numberofAfricanAmericanStudents': 4, 'numberofAsianStudents': 14, 'numberofHispanicStudents': 128, 'numberofIndianStudents': 0, 'numberofPacificIslanderStudents': 1, 'numberofWhiteStudents': 64, 'numberofTwoOrMoreRaceStudents': 5, 'numberofUnspecifiedRaceStudents': None}]",False
80480000691,Alameda International Junior/Senior High School,"{'latLong': {'latitude': 39.6938, 'longitude': -105.0843}, 'street': '1255 South Wadsworth Blvd', 'city': 'Lakewood', 'state': 'CO', 'stateFull': 'Colorado', 'zip': '80232', 'zip4': '5406', 'cityURL': 'https://www.schooldigger.com/go/CO/city/Lakewood/search.aspx', 'zipURL': 'https://www.schooldigger.com/go/CO/zip/80232/search.aspx', 'html': '1255 South Wadsworth Blvd<br />Lakewood, CO 80232-5406'}",7,12,High,"{'districtID': '0804800', 'districtName': 'Jefferson County School District No. R-1', 'url': 'https://www.schooldigger.com/go/CO/district/04800/search.aspx', 'rankURL': 'https://www.schooldigger.com/go/CO/districtrank.aspx?finddistrict=04800'}","{'countyName': 'Jefferson County', 'countyURL': 'https://www.schooldigger.com/go/CO/county/Jefferson+County/search.aspx'}",-23.0,"[{'year': 2020, 'numberOfStudents': 1117, 'percentFreeDiscLunch': 82.54, 'percentofAfricanAmericanStudents': 0.81, 'percentofAsianStudents': 5.1, 'percentofHispanicStudents': 77.98, 'percentofIndianStudents': 0.81, 'percentofPacificIslanderStudents': 0.09, 'percentofWhiteStudents': 12.8, 'percentofTwoOrMoreRaceStudents': 2.42, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 76.2, 'pupilTeacherRatio': 14.6, 'numberofAfricanAmericanStudents': 9, 'numberofAsianStudents': 57, 'numberofHispanicStudents': 871, 'numberofIndianStudents': 9, 'numberofPacificIslanderStudents': 1, 'numberofWhiteStudents': 143, 'numberofTwoOrMoreRaceStudents': 27, 'numberofUnspecifiedRaceStudents': None}, {'year': 2019, 'numberOfStudents': 1139, 'percentFreeDiscLunch': 82.62, 'percentofAfricanAmericanStudents': 0.97, 'percentofAsianStudents': 4.48, 'percentofHispanicStudents': 75.86, 'percentofIndianStudents': 1.49, 'percentofPacificIslanderStudents': 0.09, 'percentofWhiteStudents': 15.01, 'percentofTwoOrMoreRaceStudents': 2.11, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 81.4, 'pupilTeacherRatio': 13.9, 'numberofAfricanAmericanStudents': 11, 'numberofAsianStudents': 51, 'numberofHispanicStudents': 864, 'numberofIndianStudents': 17, 'numberofPacificIslanderStudents': 1, 'numberofWhiteStudents': 171, 'numberofTwoOrMoreRaceStudents': 24, 'numberofUnspecifiedRaceStudents': None}]",True
80654001132,Alice Terry Elementary School,"{'latLong': {'latitude': 39.636513, 'longitude': -105.030952}, 'street': '4485 S. Irving St.', 'city': 'Englewood', 'state': 'CO', 'stateFull': 'Colorado', 'zip': '80110', 'zip4': '6119', 'cityURL': 'https://www.schooldigger.com/go/CO/city/Englewood/search.aspx', 'zipURL': 'https://www.schooldigger.com/go/CO/zip/80110/search.aspx', 'html': '4485 S. Irving St.<br />Englewood, CO 80110-6119'}",K,2,Elementary,"{'districtID': '0806540', 'districtName': 'Sheridan School District No. 2', 'url': 'https://www.schooldigger.com/go/CO/district/06540/search.aspx', 'rankURL': 'https://www.schooldigger.com/go/CO/districtrank.aspx?finddistrict=06540'}","{'countyName': 'Arapahoe County', 'countyURL': 'https://www.schooldigger.com/go/CO/county/Arapahoe+County/search.aspx'}",,"[{'year': 2020, 'numberOfStudents': 214, 'percentFreeDiscLunch': 89.72, 'percentofAfricanAmericanStudents': 4.67, 'percentofAsianStudents': 2.34, 'percentofHispanicStudents': 72.9, 'percentofIndianStudents': 1.4, 'percentofPacificIslanderStudents': 0.0, 'percentofWhiteStudents': 15.89, 'percentofTwoOrMoreRaceStudents': 2.8, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 15.4, 'pupilTeacherRatio': 13.8, 'numberofAfricanAmericanStudents': 10, 'numberofAsianStudents': 5, 'numberofHispanicStudents': 156, 'numberofIndianStudents': 3, 'numberofPacificIslanderStudents': 0, 'numberofWhiteStudents': 34, 'numberofTwoOrMoreRaceStudents': 6, 'numberofUnspecifiedRaceStudents': None}, {'year': 2019, 'numberOfStudents': 225, 'percentFreeDiscLunch': 93.33, 'percentofAfricanAmericanStudents': 2.67, 'percentofAsianStudents': 2.22, 'percentofHispanicStudents': 73.78, 'percentofIndianStudents': 1.78, 'percentofPacificIslanderStudents': 0.0, 'percentofWhiteStudents': 15.11, 'percentofTwoOrMoreRaceStudents': 4.44, 'percentofUnspecifiedRaceStudents': None, 'teachersFulltime': 13.2, 'pupilTeacherRatio': 16.9, 'numberofAfricanAmericanStudents': 6, 'numberofAsianStudents': 5, 'numberofHispanicStudents': 166, 'numberofIndianStudents': 4, 'numberofPacificIslanderStudents': 0, 'numberofWhiteStudents': 34, 'numberofTwoOrMoreRaceStudents': 10, 'numberofUnspecifiedRaceStudents': None}]",True
